trade_date,518880.SH,513100.SH,159915.SZ,510300.SH
2012-03-26,,,0.739,
2012-03-27,,,0.737,
2012-03-28,,,0.7,
2012-03-29,,,0.686,
2012-03-30,,,0.683,
2012-04-05,,,0.701,
2012-04-06,,,0.703,
2012-04-09,,,0.691,
2012-04-10,,,0.7,
2012-04-11,,,0.701,
2012-04-12,,,0.718,
2012-04-13,,,0.722,
2012-04-16,,,0.719,
2012-04-17,,,0.71,
2012-04-18,,,0.728,
2012-04-19,,,0.728,
2012-04-20,,,0.729,
2012-04-23,,,0.686,
2012-04-24,,,0.683,
2012-04-25,,,0.684,
2012-04-26,,,0.681,
2012-04-27,,,0.688,
2012-05-02,,,0.698,
2012-05-03,,,0.703,
2012-05-04,,,0.719,
2012-05-07,,,0.737,
2012-05-08,,,0.734,
2012-05-09,,,0.724,
2012-05-10,,,0.732,
2012-05-11,,,0.722,
2012-05-14,,,0.722,
2012-05-15,,,0.724,
2012-05-16,,,0.714,
2012-05-17,,,0.72,
2012-05-18,,,0.712,
2012-05-21,,,0.708,
2012-05-22,,,0.721,
2012-05-23,,,0.716,
2012-05-24,,,0.716,
2012-05-25,,,0.706,
2012-05-28,,,0.712,2.0552486187845305
2012-05-29,,,0.725,2.0868192580899767
2012-05-30,,,0.732,2.0805051302288877
2012-05-31,,,0.74,2.0757695343330704
2012-06-01,,,0.739,2.0757695343330704
2012-06-04,,,0.723,2.0189423835832674
2012-06-05,,,0.721,2.021310181531176
2012-06-06,,,0.72,2.019731649565904
2012-06-07,,,0.717,2.007103393843725
2012-06-08,,,0.721,2.0
2012-06-11,,,0.744,2.0236779794790847
2012-06-12,,,0.741,2.0110497237569063
2012-06-13,,,0.752,2.040252565114444
2012-06-14,,,0.745,2.031570639305446
2012-06-15,,,0.747,2.039463299131808
2012-06-18,,,0.759,2.0457774269928968
2012-06-19,,,0.752,2.0307813733228097
2012-06-20,,,0.754,2.028413575374901
2012-06-21,,,0.744,1.9968429360694555
2012-06-25,,,0.73,1.957379636937648
2012-06-26,,,0.721,1.957379636937648
2012-06-27,,,0.725,1.950276243093923
2012-06-28,,,0.716,1.9392265193370168
2012-06-29,,,0.734,1.9613259668508287
2012-07-02,,,0.75,1.9613259668508287
2012-07-03,,,0.749,1.9644830307813732
2012-07-04,,,0.743,1.9644830307813732
2012-07-05,,,0.728,1.942383583267561
2012-07-06,,,0.745,1.9739542225730071
2012-07-09,,,0.725,1.9344909234412
2012-07-10,,,0.72,1.9265982636148384
2012-07-11,,,0.726,1.935280189423836
2012-07-12,,,0.738,1.9526440410418315
2012-07-13,,,0.73,1.955801104972376
2012-07-16,,,0.697,1.92423046566693
2012-07-17,,,0.702,1.9281767955801108
2012-07-18,,,0.707,1.9281767955801108
2012-07-19,,,0.714,1.9344909234412
2012-07-20,,,0.71,1.920284135753749
2012-07-23,,,0.711,1.8966061562746648
2012-07-24,,,0.711,1.9005524861878451
2012-07-25,,,0.713,1.888713496448303
2012-07-26,,,0.712,1.8800315706393056
2012-07-27,,,0.709,1.8823993685872136
2012-07-30,,,0.694,1.8760852407261248
2012-07-31,,,0.683,1.871349644830308
2012-08-01,,,0.695,1.8855564325177585
2012-08-02,,,0.695,1.871349644830308
2012-08-03,,,0.719,1.8823993685872136
2012-08-06,,,0.736,1.9068666140489343
2012-08-07,,,0.741,1.9092344119968432
2012-08-08,,,0.735,1.9108129439621155
2012-08-09,,,0.748,1.929755327545383
2012-08-10,,,0.748,1.92423046566693
2012-08-13,,,0.732,1.887924230465667
2012-08-14,,,0.742,1.8847671665351224
2012-08-15,,,0.734,1.8674033149171276
2012-08-16,,,0.729,1.8618784530386745
2012-08-17,,,0.727,1.853985793212313
2012-08-20,,,0.736,1.8437253354380427
2012-08-21,,,0.753,1.850828729281768
2012-08-22,,,0.752,1.8374112075769533
2012-08-23,,,0.755,1.8460931333859512
2012-08-24,,,0.739,1.82794001578532
2012-08-27,,,0.728,1.7900552486187844
2012-08-28,,,0.733,1.7900552486187844
2012-08-29,,,0.731,1.7782162588792425
2012-08-30,,,0.707,1.770323599052881
2012-08-31,,,0.713,1.770323599052881
2012-09-03,,,0.729,1.7813733228097872
2012-09-04,,,0.728,1.7624309392265196
2012-09-05,,,0.736,1.7616416732438835
2012-09-06,,,0.744,1.7790055248618786
2012-09-07,,,0.766,1.860299921073402
2012-09-10,,,0.767,1.8666140489344916
2012-09-11,,,0.766,1.8524072612470404
2012-09-12,,,0.766,1.8618784530386745
2012-09-13,,,0.751,1.8437253354380427
2012-09-14,,,0.748,1.8563535911602207
2012-09-17,,,0.727,1.812943962115233
2012-09-18,,,0.729,1.790844514601421
2012-09-19,,,0.734,1.7979479084451462
2012-09-20,,,0.712,1.759273875295975
2012-09-21,,,0.694,1.7584846093133388
2012-09-24,,,0.696,1.774269928966062
2012-09-25,,,0.684,1.7719021310181533
2012-09-26,,,0.666,1.7529597474348857
2012-09-27,,,0.683,1.8034727703235995
2012-09-28,,,0.696,1.845303867403315
2012-10-08,,,0.697,1.8176795580110496
2012-10-09,,,0.717,1.8595106550907656
2012-10-10,,,0.725,1.8595106550907656
2012-10-11,,,0.717,1.8468823993685872
2012-10-12,,,0.711,1.845303867403315
2012-10-15,,,0.708,1.8389897395422257
2012-10-16,,,0.709,1.839779005524862
2012-10-17,,,0.713,1.8468823993685872
2012-10-18,,,0.724,1.869771112865036
2012-10-19,,,0.723,1.869771112865036
2012-10-22,,,0.728,1.876874506708761
2012-10-23,,,0.713,1.855564325177585
2012-10-24,,,0.711,1.8524072612470404
2012-10-25,,,0.699,1.8374112075769533
2012-10-26,,,0.688,1.7963693764798736
2012-10-29,,,0.692,1.7876874506708764
2012-10-30,,,0.692,1.791633780584057
2012-10-31,,,0.695,1.8042620363062356
2012-11-01,,,0.706,1.8421468034727704
2012-11-02,,,0.705,1.8460931333859512
2012-11-05,,,0.696,1.8413575374901343
2012-11-06,,,0.693,1.8342541436464088
2012-11-07,,,0.692,1.832675611681137
2012-11-08,,,0.679,1.7995264404104183
2012-11-09,,,0.678,1.7947908445146017
2012-11-12,,,0.682,1.801104972375691
2012-11-13,,,0.671,1.7734806629834254
2012-11-14,,,0.669,1.7782162588792425
2012-11-15,,,0.663,1.7569060773480665
2012-11-16,,,0.661,1.7403314917127073
2012-11-19,,,0.661,1.7403314917127073
2012-11-20,,,0.661,1.7355958958168902
2012-11-21,,,0.666,1.7569060773480665
2012-11-22,,,0.655,1.7466456195737965
2012-11-23,,,0.656,1.7561168113654304
2012-11-26,,,0.643,1.745067087608524
2012-11-27,,,0.62,1.7261247040252563
2012-11-28,,,0.611,1.707182320441989
2012-11-29,,,0.607,1.7008681925808995
2012-11-30,,,0.608,1.7087608524072615
2012-12-03,,,0.598,1.6929755327545384
2012-12-04,,,0.603,1.7063930544593529
2012-12-05,,,0.627,1.7663772691397002
2012-12-06,,,0.626,1.7640094711917915
2012-12-07,,,0.641,1.7995264404104183
2012-12-10,,,0.649,1.8161010260457775
2012-12-11,,,0.642,1.8105761641673248
2012-12-12,,,0.642,1.8145224940805047
2012-12-13,,,0.633,1.8003157063930546
2012-12-14,,,0.661,1.891081294396212
2012-12-17,,,0.654,1.8966061562746648
2012-12-18,,,0.649,1.893546961325967
2012-12-19,,,0.654,1.898348855564325
2012-12-20,,,0.661,1.911153906866614
2012-12-21,,,0.671,1.903150749802684
2012-12-24,,,0.683,1.9047513812154695
2012-12-25,,,0.697,1.9575722178374115
2012-12-26,,,0.711,1.9631744277821623
2012-12-27,,,0.703,1.9591728492501972
2012-12-28,,,0.709,1.9879842146803477
2012-12-31,,,0.713,2.0199968429360697
2013-01-04,,,0.708,2.024798737174428
2013-01-07,,,0.721,2.028
2013-01-08,,,0.737,2.019196527229677
2013-01-09,,,0.735,2.0175958958168905
2013-01-10,,,0.743,2.022397790055249
2013-01-11,,,0.731,1.9919857932123128
2013-01-14,,,0.762,2.0624135753749013
2013-01-15,,,0.78,2.074418310970797
2013-01-16,,,0.774,2.059212312549329
2013-01-17,,,0.768,2.0464072612470403
2013-01-18,,,0.79,2.0768192580899765
2013-01-21,,,0.794,2.084022099447514
2013-01-22,,,0.774,2.0808208366219416
2013-01-23,,,0.781,2.0848224151539068
2013-01-24,,,0.759,2.071217048145225
2013-01-25,,,0.763,2.0616132596685084
2013-01-28,,,0.786,2.117635359116022
2013-01-29,,,0.792,2.133641673243883
2013-01-30,,,0.784,2.145646408839779
2013-01-31,,,0.78,2.1512486187845306
2013-02-01,,,0.783,2.1928650355169697
2013-02-04,,,0.771,2.196866614048935
2013-02-05,,,0.784,2.212872928176796
2013-02-06,,,0.791,2.21927545382794
2013-02-07,,,0.806,2.2088713496448302
2013-02-08,,,0.822,2.216074191002368
2013-02-18,,,0.832,2.183261247040253
2013-02-19,,,0.818,2.1480473559589583
2013-02-20,,,0.851,2.157651144435675
2013-02-21,,,0.838,2.0808208366219416
2013-02-22,,,0.835,2.074418310970797
2013-02-25,,,0.854,2.0776195737963694
2013-02-26,,,0.85,2.0472075769534333
2013-02-27,,,0.842,2.0664151539068665
2013-02-28,,,0.86,2.1360426203630625
2013-03-01,,,0.885,2.133641673243883
2013-03-04,,,0.863,2.0328018942383586
2013-03-05,,,0.887,2.091224940805051
2013-03-06,,,0.902,2.113633780584057
2013-03-07,,,0.88,2.088023677979479
2013-03-08,,,0.863,2.0848224151539068
2013-03-11,,,0.867,2.070416732438832
2013-03-12,,,0.836,2.040805051302289
2013-03-13,,,0.832,2.0183962115232834
2013-03-14,,,0.84,2.022397790055249
2013-03-15,,,0.853,2.023998421468035
2013-03-18,,,0.85,2.002389897395422
2013-03-19,,,0.841,2.0199968429360697
2013-03-20,,,0.864,2.0816211523283346
2013-03-21,,,0.88,2.087223362273086
2013-03-22,,,0.878,2.092825572217837
2013-03-25,,,0.88,2.0896243093922653
2013-03-26,,,0.872,2.055210734017364
2013-03-27,,,0.882,2.060012628255722
2013-03-28,,,0.864,1.995987371744278
2013-03-29,,,0.86,1.9903851617995263
2013-04-01,,,0.875,1.9871838989739543
2013-04-02,,,0.847,1.9903851617995263
2013-04-03,,,0.829,1.9863835832675611
2013-04-08,,,0.854,1.9767797947908448
2013-04-09,,,0.86,1.9887845303867404
2013-04-10,,,0.849,1.9887845303867404
2013-04-11,,,0.849,1.979981057616417
2013-04-12,,,0.844,1.9735785319652728
2013-04-15,,,0.834,1.953570639305446
2013-04-16,,,0.842,1.9655753749013416
2013-04-17,,,0.866,1.9703772691397003
2013-04-18,,,0.871,1.9743788476716653
2013-04-19,,,0.891,2.0304009471191797
2013-04-22,,,0.915,2.023998421468035
2013-04-23,,,0.892,1.9623741120757696
2013-04-24,,,0.926,1.995987371744278
2013-04-25,,,0.898,1.9751791633780584
2013-04-26,,,0.89,1.956771902131018
2013-05-02,,,0.914,1.9583725335438045
2013-05-03,,,0.938,1.9935864246250987
2013-05-06,,,0.953,2.016795580110497
2013-05-07,,,0.95,2.021597474348856
2013-05-08,,,0.982,2.0344025256511444
2013-05-09,,,0.99,2.023998421468035
2013-05-10,,,0.987,2.0320015785319656
2013-05-13,,,0.991,2.023998421468035
2013-05-14,,,0.971,1.994386740331492
2013-05-15,,0.1993202718912435,1.01,2.0039905288082083
2013-05-16,,0.1997201119552179,1.007,2.0448066298342544
2013-05-17,,0.1993202718912435,1.017,2.0800205209155487
2013-05-20,,0.1993202718912435,1.048,2.092025256511445
2013-05-21,,0.1993202718912435,1.073,2.092025256511445
2013-05-22,,0.1997201119552179,1.039,2.094426203630624
2013-05-23,,0.1981207516993202,1.043,2.072017363851618
2013-05-24,,0.1987205117952818,1.07,2.083221783741121
2013-05-27,,0.1989204318272691,1.085,2.0784198895027624
2013-05-28,,0.1983206717313075,1.054,2.1216369376479878
2013-05-29,,0.1991203518592563,1.064,2.11443409629045
2013-05-30,,0.1983206717313075,1.068,2.1088318863456985
2013-05-31,,0.1995201919232307,1.067,2.0848224151539068
2013-06-03,,0.197920831667333,1.046,2.0888239936858723
2013-06-04,,0.1985205917632946,1.02,2.058411996842936
2013-06-05,,0.1977209116353458,1.035,2.0528097868981847
2013-06-06,,0.1945221911235505,1.018,2.0328018942383586
2013-06-07,,0.1945221911235505,1.032,1.995987371744278
2013-06-13,,0.1931227508996401,1.024,1.9343630623520125
2013-06-14,,0.1957217113154738,1.069,1.9479684293606947
2013-06-17,,0.1951219512195122,1.067,1.9359636937647988
2013-06-18,,0.1967213114754098,1.068,1.948768745067088
2013-06-19,,0.1995201919232307,1.064,1.9375643251775847
2013-06-20,,0.1961215513794482,1.023,1.876740331491713
2013-06-21,,0.1919232307077169,1.027,1.8679368587213887
2013-06-24,,0.1903238704518192,0.963,1.7534917127071823
2013-06-25,,0.1893242702918832,0.986,1.7542920284135757
2013-06-26,,0.189124350259896,1.045,1.75029044988161
2013-06-27,,0.1913234706117552,1.02,1.7510907655880037
2013-06-28,,0.1925229908036785,1.003,1.7831033938437255
2013-07-01,,0.1929228308676529,1.06,1.790306235201263
2013-07-02,,0.1943222710915634,1.083,1.7959084451460146
2013-07-03,,0.1945221911235505,1.1,1.791906866614049
2013-07-04,,0.1955217912834866,1.087,1.8047119179163376
2013-07-05,,0.1977209116353458,1.052,1.8111144435674824
2013-07-08,,0.1995201919232307,1.027,1.762295185477506
2013-07-09,,0.1991203518592563,1.048,1.7582936069455408
2013-07-10,,0.1997201119552179,1.069,1.807112865035517
2013-07-11,,0.2007197121151539,1.082,1.897548539857932
2013-07-12,,0.203718512594962,1.092,1.8503299131807416
2013-07-15,,0.2045181927229108,1.138,1.876740331491713
2013-07-16,,0.203718512594962,1.137,1.8879447513812155
2013-07-17,,0.203718512594962,1.126,1.8599337016574584
2013-07-18,,0.2039184326269492,1.124,1.8311223362273088
2013-07-19,,0.203718512594962,1.106,1.7807024467245465
2013-07-22,,0.2029188324670131,1.154,1.791906866614049
2013-07-23,,0.2031187524990004,1.173,1.847928966061563
2013-07-24,,0.1999200319872051,1.2,1.8343235990528808
2013-07-25,,0.1999200319872051,1.147,1.8295217048145227
2013-07-26,,0.2019192323070771,1.152,1.8127150749802683
2013-07-29,2.626,0.2029188324670131,1.124,1.777501183898974
2013-07-30,2.646,0.2021191523390643,1.11,1.7879052880820838
2013-07-31,2.657,0.2025189924030387,1.122,1.791906866614049
2013-08-01,2.643,0.202718912435026,1.177,1.8391254932912395
2013-08-02,2.578,0.2045181927229108,1.169,1.835924230465667
2013-08-05,2.63,0.2061175529788084,1.193,1.8623346487766377
2013-08-06,2.591,0.2059176329468212,1.196,1.8743393843725336
2013-08-07,2.574,0.2033186725309876,1.162,1.8615343330702447
2013-08-08,2.586,0.2035185925629748,1.171,1.8623346487766377
2013-08-09,2.616,0.2051179528188724,1.161,1.8703378058405684
2013-08-12,2.659,0.203718512594962,1.152,1.9263599052880824
2013-08-13,2.675,0.203718512594962,1.163,1.9263599052880824
2013-08-14,2.64,0.2041183526589364,1.172,1.922358326756117
2013-08-15,2.68,0.2033186725309876,1.151,1.8999494869771116
2013-08-16,2.712,0.2001199520191923,1.117,1.8863441199684297
2013-08-19,2.737,0.1999200319872051,1.164,1.9023504340962905
2013-08-20,2.705,0.1989204318272691,1.16,1.8887450670876085
2013-08-21,2.724,0.2001199520191923,1.164,1.8887450670876085
2013-08-22,2.714,0.1995201919232307,1.181,1.882342541436464
2013-08-23,2.733,0.2029188324670131,1.198,1.8703378058405684
2013-08-26,2.772,0.203718512594962,1.22,1.911954222573007
2013-08-27,2.779,0.2033186725309876,1.229,1.911954222573007
2013-08-28,2.827,0.1991203518592563,1.209,1.903150749802684
2013-08-29,2.796,0.2003198720511795,1.207,1.897548539857932
2013-08-30,2.787,0.2017193122750899,1.171,1.89434727703236
2013-09-02,2.767,0.2023190723710516,1.197,1.8959479084451465
2013-09-03,2.762,0.2029188324670131,1.214,1.924759273875296
2013-09-04,2.787,0.2025189924030387,1.215,1.923958958168903
2013-09-05,2.751,0.203718512594962,1.248,1.9159558011049729
2013-09-06,2.725,0.2031187524990004,1.262,1.9271602209944751
2013-09-09,2.756,0.2051179528188724,1.255,1.998388318863457
2013-09-10,2.742,0.2055177928828468,1.244,2.024798737174428
2013-09-11,2.722,0.2059176329468212,1.202,2.0336022099447515
2013-09-12,2.682,0.2061175529788084,1.207,2.0536101026045777
2013-09-13,2.622,0.2055177928828468,1.235,2.03840410418311
2013-09-16,2.631,0.2079168332666933,1.257,2.028
2013-09-17,2.609,0.205717712914834,1.246,1.9879842146803477
2013-09-18,2.589,0.2081167532986805,1.265,1.9903851617995263
2013-09-23,2.629,0.212514994002399,1.3,2.0183962115232834
2013-09-24,2.622,0.2119152339064374,1.305,1.9991886345698504
2013-09-25,2.629,0.2119152339064374,1.299,1.9871838989739543
2013-09-26,2.632,0.2119152339064374,1.281,1.954370955011839
2013-09-27,2.622,0.2141143542582966,1.308,1.961573796369377
2013-09-30,2.649,0.2111155537784886,1.346,1.9743788476716653
2013-10-08,2.63,0.2107157137145142,1.36,2.002389897395422
2013-10-09,2.615,0.2079168332666933,1.39,2.004790844514601
2013-10-10,2.595,0.2083166733306677,1.349,1.9871838989739543
2013-10-11,2.569,0.2129148340663734,1.36,2.019196527229677
2013-10-14,2.543,0.2133146741303478,1.373,2.0199968429360697
2013-10-15,2.533,0.2161135545781687,1.365,2.0175958958168905
2013-10-16,2.549,0.2157137145141943,1.312,1.982382004735596
2013-10-17,2.531,0.2191123550579768,1.299,1.9719779005524865
2013-10-18,2.605,0.2201119552179128,1.332,1.9815816890292028
2013-10-21,2.608,0.2227109156337465,1.376,2.023998421468035
2013-10-22,2.595,0.2311075569772091,1.318,2.001589581689029
2013-10-23,2.624,0.2279088364654138,1.289,1.979981057616417
2013-10-24,2.624,0.2241103558576569,1.268,1.963974743488556
2013-10-25,2.619,0.2277089164334266,1.252,1.9327624309392264
2013-10-28,2.626,0.228108756497401,1.255,1.9351633780584057
2013-10-29,2.639,0.2245101959216313,1.234,1.9375643251775847
2013-10-30,2.631,0.2255097960815673,1.252,1.9647750591949489
2013-10-31,2.613,0.2231107556977209,1.211,1.9455674822415157
2013-11-01,2.602,0.2235105957616953,1.199,1.953570639305446
2013-11-04,2.584,0.2243102758896441,1.202,1.9479684293606947
2013-11-05,2.582,0.2251099560175929,1.236,1.9479684293606947
2013-11-06,2.578,0.2267093162734905,1.22,1.9255595895816893
2013-11-07,2.589,0.2267093162734905,1.2,1.9175564325177583
2013-11-08,2.573,0.2249100359856057,1.189,1.8887450670876085
2013-11-11,2.529,0.2255097960815673,1.19,1.891146014206788
2013-11-12,2.517,0.2251099560175929,1.206,1.9103535911602207
2013-11-13,2.501,0.2233106757297081,1.189,1.8743393843725336
2013-11-14,2.516,0.2267093162734905,1.225,1.8799415943172848
2013-11-15,2.526,0.2263094762095161,1.247,1.9191570639305449
2013-11-18,2.527,0.2263094762095161,1.268,1.982382004735596
2013-11-19,2.501,0.2231107556977209,1.276,1.9735785319652728
2013-11-20,2.508,0.2195121951219512,1.274,1.982382004735596
2013-11-21,2.463,0.2177129148340663,1.272,1.9727782162588792
2013-11-22,2.458,0.2215113954418233,1.268,1.961573796369377
2013-11-25,2.437,0.2249100359856057,1.272,1.951169692186267
2013-11-26,2.465,0.2241103558576569,1.265,1.9503693764798735
2013-11-27,2.453,0.2265093962415034,1.308,1.9727782162588792
2013-11-28,2.44,0.2283086765293882,1.311,1.9935864246250987
2013-11-29,2.443,0.2273090763694522,1.341,1.9951870560378848
2013-12-02,2.45,0.227109156337465,1.208,1.9767797947908448
2013-12-03,2.411,0.2261095561775289,1.227,1.994386740331492
2013-12-04,2.408,0.2263094762095161,1.22,2.0199968429360697
2013-12-05,2.429,0.2263094762095161,1.18,2.0199968429360697
2013-12-06,2.418,0.2263094762095161,1.186,2.0063914759273875
2013-12-09,2.425,0.2287085165933626,1.217,2.0055911602209946
2013-12-10,2.445,0.2289084366253498,1.208,2.004790844514601
2013-12-11,2.462,0.2269092363054778,1.228,1.9735785319652728
2013-12-12,2.45,0.2235105957616953,1.252,1.969576953433307
2013-12-13,2.41,0.2243102758896441,1.251,1.968776637726914
2013-12-16,2.411,0.2241103558576569,1.255,1.936764009471192
2013-12-17,2.438,0.2255097960815673,1.239,1.924759273875296
2013-12-18,2.419,0.2243102758896441,1.228,1.9263599052880824
2013-12-19,2.4,0.227109156337465,1.234,1.907952644041042
2013-12-20,2.342,0.2273090763694522,1.23,1.867136543014996
2013-12-23,2.366,0.2309076369452219,1.215,1.867136543014996
2013-12-24,2.366,0.2345061975209916,1.236,1.8695374901341757
2013-12-25,2.376,0.234906037584966,1.262,1.879141278610892
2013-12-26,2.377,0.234906037584966,1.243,1.853531176006314
2013-12-27,2.401,0.2357057177129148,1.273,1.878340962904499
2013-12-30,2.377,0.2323070771691323,1.28,1.8799415943172848
2013-12-31,2.376,0.2325069972011195,1.274,1.9015501183898973
2014-01-02,2.403,0.2337065173930428,1.306,1.8951475927387529
2014-01-03,2.424,0.2321071571371451,1.325,1.8743393843725336
2014-01-06,2.435,0.2313074770091963,1.299,1.8295217048145227
2014-01-07,2.442,0.2311075569772091,1.324,1.830322020520916
2014-01-08,2.411,0.2345061975209916,1.375,1.828721389108129
2014-01-09,2.412,0.2343062774890044,1.348,1.8175169692186264
2014-01-10,2.428,0.2341063574570172,1.324,1.8047119179163376
2014-01-13,2.448,0.2339064374250299,1.336,1.791906866614049
2014-01-14,2.455,0.2313074770091963,1.377,1.8039116022099448
2014-01-15,2.434,0.2335065973610555,1.39,1.8039116022099448
2014-01-16,2.437,0.2361055577768892,1.371,1.8047119179163376
2014-01-17,2.435,0.2365053978408636,1.367,1.77910181531176
2014-01-20,2.459,0.235905637744902,1.342,1.7702983425414367
2014-01-21,2.451,0.2363054778088764,1.381,1.7841767955801109
2014-01-22,2.432,0.2363054778088764,1.399,1.8332375690607736
2014-01-23,2.426,0.2381047580967613,1.43,1.823425414364641
2014-01-24,2.46,0.2371051579368252,1.453,1.8332375690607736
2014-01-27,2.476,0.2323070771691323,1.445,1.8095248618784532
2014-01-28,2.463,0.2319072371051579,1.441,1.8111602209944755
2014-01-29,2.455,0.2347061175529788,1.466,1.8168839779005528
2014-01-30,2.461,0.2325069972011195,1.463,1.79153591160221
2014-02-07,2.48,0.2319072371051579,1.498,1.802983425414365
2014-02-10,2.501,0.2343062774890044,1.516,1.855314917127072
2014-02-11,2.515,0.2341063574570172,1.492,1.8643093922651932
2014-02-12,2.521,0.2367053178728508,1.506,1.8675801104972376
2014-02-13,2.517,0.2353058776489404,1.45,1.862674033149172
2014-02-14,2.552,0.2365053978408636,1.479,1.86921546961326
2014-02-17,2.596,0.2373050779688124,1.521,1.8822983425414368
2014-02-18,2.57,0.2367053178728508,1.507,1.8602209944751384
2014-02-19,2.575,0.2391043582566973,1.506,1.88475138121547
2014-02-20,2.566,0.2377049180327869,1.483,1.868397790055249
2014-02-21,2.582,0.2405037984806077,1.483,1.8471381215469616
2014-02-24,2.599,0.2399040383846461,1.505,1.8054364640883984
2014-02-25,2.612,0.2429028388644542,1.432,1.758828729281768
2014-02-26,2.651,0.2449020391843263,1.431,1.7612817679558013
2014-02-27,2.602,0.2453018792483007,1.385,1.757193370165746
2014-02-28,2.621,0.2499000399840064,1.4,1.775182320441989
2014-03-03,2.651,0.2477009196321471,1.43,1.7817237569060775
2014-03-04,2.643,0.2449020391843263,1.421,1.7776353591160223
2014-03-05,2.624,0.2479008396641343,1.427,1.7620994475138123
2014-03-06,2.623,0.2465013994402239,1.426,1.771093922651934
2014-03-07,2.649,0.2461015593762495,1.428,1.7653701657458565
2014-03-10,2.61,0.2439024390243902,1.37,1.7105856353591165
2014-03-11,2.641,0.2441023590563774,1.363,1.7179447513812158
2014-03-12,2.668,0.2429028388644542,1.364,1.719580110497238
2014-03-13,2.694,0.243702518992403,1.405,1.7465635359116023
2014-03-14,2.692,0.2393042782886845,1.398,1.7318453038674035
2014-03-17,2.722,0.2377049180327869,1.438,1.7449281767955802
2014-03-18,2.686,0.2415033986405438,1.444,1.7432928176795583
2014-03-19,2.68,0.2451019592163134,1.427,1.7326629834254148
2014-03-20,2.647,0.2425029988004798,1.382,1.7024088397790056
2014-03-21,2.647,0.2439024390243902,1.382,1.7653701657458565
2014-03-24,2.64,0.2411035585765693,1.359,1.7735469613259671
2014-03-25,2.608,0.2393042782886845,1.359,1.771093922651934
2014-03-26,2.614,0.2395041983206717,1.385,1.771093922651934
2014-03-27,2.58,0.2357057177129148,1.332,1.758828729281768
2014-03-28,2.588,0.2345061975209916,1.292,1.758011049723757
2014-03-31,2.573,0.2351059576169532,1.297,1.7506519337016575
2014-04-01,2.555,0.2385045981607357,1.321,1.7604640883977904
2014-04-02,2.561,0.242702918832467,1.292,1.7743646408839782
2014-04-03,2.573,0.2419032387045182,1.294,1.7620994475138123
2014-04-04,2.564,0.2397041183526589,1.314,1.7833591160220998
2014-04-08,2.606,0.2321071571371451,1.318,1.8258784530386745
2014-04-09,2.61,0.2335065973610555,1.336,1.8226077348066303
2014-04-10,2.618,0.235905637744902,1.347,1.852044198895028
2014-04-11,2.62,0.2283086765293882,1.329,1.8512265193370168
2014-04-14,2.649,0.2267093162734905,1.339,1.8504088397790055
2014-04-15,2.61,0.2277089164334266,1.333,1.817701657458564
2014-04-16,2.59,0.2289084366253498,1.328,1.817701657458564
2014-04-17,2.586,0.2309076369452219,1.337,1.8144309392265197
2014-04-18,2.579,0.2307077169132347,1.344,1.8111602209944755
2014-04-21,2.565,0.2313074770091963,1.329,1.7784530386740334
2014-04-22,2.577,0.2331067572970811,1.303,1.7907182320441992
2014-04-23,2.575,0.2343062774890044,1.297,1.785812154696133
2014-04-24,2.573,0.2353058776489404,1.284,1.7890828729281771
2014-04-25,2.59,0.2353058776489404,1.26,1.7670055248618788
